"","RIDAGEYR","INDF","INDH","DPQSCR","DR1TCAFF","DR2TCAFF","DRMTCAFF","DRLTCAFF"
"Mean",44.8431496727887,8.35317711631835,8.79185138273169,3.03588769263247,144.378087397087,127.73165030388,129.866476673,3.78860771372747
"SD",19.8511801646355,11.4376443157008,12.0113154478899,4.32255972918644,196.513692402924,178.769013115146,169.68704786691,1.89798179055951
