"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",1.24530659082306,0.733865543438974,2.10424552173918,0.414092804664014
"CyQNT1Q2",0.973125139189814,0.752859583712679,1.26318362607266,0.836371638869186
"CyQNT1Q3",1.01779465569537,0.772626448777766,1.34407171965773,0.900528271812805
"CyQNT1Q4",1.23065592573469,0.925456301840782,1.64065300913239,0.154995093989877
"RIDAGEYR",0.986154543758006,0.980938102423995,0.991364186303113,2.32821575770391e-07
"GENDRM",0.467149450130028,0.385599422602299,0.564612279088295,4.99362942573392e-15
"RIDRETH1",1.07612278655633,0.987103656891186,1.17359549880993,0.0964372124610098
"INDF",1.00988986627823,0.996160460440613,1.02215624793042,0.12761696738013
"INDH",0.99201096299953,0.979050342304601,1.00644751075478,0.247952486134873
"DMDEDUC2",0.683966210874786,0.633985586906255,0.737188190717043,5.29411853155717e-23
"SMQ020",0.514194930904779,0.42130695394916,0.626269680540213,4.70563161189192e-11
"PAQBIN",0.732817218631479,0.604650041279066,0.886114071543125,0.00142396775574571
"ALQBIN",1.0759456247974,0.82404138262084,1.41763851532798,0.596500813266957
