"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.207889594337851,0.154163897689598,0.278397628038936,1.95846501923337e-25
"CyQNT1Q2",1.00582349845122,0.788136245532505,1.2893883649781,0.963085472559233
"CyQNT1Q3",1.03651161900599,0.797435835079431,1.35056151349319,0.789418318217736
"CyQNT1Q4",1.33559193431444,1.02350291547957,1.74699817826181,0.0337055316509631
"RIDAGEYR",0.994330121007621,0.989674798413288,0.998982737494128,0.0172281820088698
"GENDRM",0.522141042251337,0.437203872570128,0.622143933288689,5.04577679767204e-13
