"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",1.23210406866917,0.739929306780553,2.04333474384481,0.420362643875499
"CAFFCATEHigh",1.72671131929379,1.22135728163366,2.42016415326428,0.00171879957875031
"CAFFCATELow",0.929188177252273,0.71170601547012,1.20845135414209,0.586231696962867
"CAFFCATEMod",1.04993569877648,0.843603618226,1.30937022390822,0.663748500178678
"RIDAGEYR",0.986308493213732,0.981069317838084,0.991541834550976,3.55687752539211e-07
"GENDRM",0.465249366071477,0.383937303806201,0.562445012362145,3.86527906561985e-15
"RIDRETH1",1.07350302722081,0.984657812999111,1.17077990309916,0.108182609008492
"INDF",1.00967175561522,0.995892657384217,1.02197220420215,0.137497328611899
"INDH",0.992222182665116,0.979220197521124,1.00671796367159,0.262314881465459
"DMDEDUC2",0.683660176116029,0.633614849457182,0.736956464294786,5.62318327569053e-23
"SMQ020",0.524148374186019,0.4294590383211,0.638424546810596,1.66513231969538e-10
"PAQBIN",0.725210477148399,0.59819351477476,0.877139902603976,0.000994678875293272
"ALQBIN",1.07374740839261,0.821869144949906,1.41554713729524,0.607571454757965
