"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.214210082754423,0.129956438822424,0.34869312572572,9.17783976355016e-10
"CAFFCATEHigh",1.70164665369172,1.11590828891243,2.54114808462553,0.0111118967884626
"CAFFCATELow",1.05676456002267,0.773581744526055,1.43544615836815,0.725878371750155
"CAFFCATEMod",0.896448112059836,0.683501381726588,1.17637334366478,0.429495837014889
"RIDAGEYR",0.998931465724052,0.992883132057154,1.00496881582329,0.72890815538248
"GENDRM",0.691402453964773,0.549480840933109,0.867776638435206,0.00153401797043121
"RIDRETH1",1.17350719197496,1.05547336608788,1.30575946837108,0.00318978417743996
"INDF",0.980409777067934,0.957400614150807,1.0093939173736,0.119947379758091
"INDH",1.009673014509,0.982181139841686,1.02935710930424,0.3887104429925
"DMDEDUC2",0.712940787991275,0.647985077047273,0.783721530746762,2.99992629825528e-12
