"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",1.02607087956578,0.61395124808293,1.70663319462863,0.92135914293313
"CAFFQNTQ2",0.922550000258871,0.71210445107645,1.195452045758,0.54151030429579
"CAFFQNTQ3",1.00846061221556,0.779544086799174,1.30565198855765,0.948899331870656
"CAFFQNTQ4",1.16941016903821,0.902939202673292,1.51725612693329,0.236855389333775
"RIDAGEYR",0.988213693900516,0.9830219104329,0.993396234076568,9.48741081715673e-06
"GENDRM",0.486889938229057,0.40267845659544,0.587338338106136,7.56643471332683e-14
"RIDRETH1",1.05746278687286,0.970811704744769,1.15189119959646,0.200204908072662
"INDF",0.993873498030512,0.981422683416595,1.00685500506378,0.348528168870391
"INDH",1.00192551761773,0.989063445816777,1.01370358831679,0.759767513887209
"DMDEDUC2",0.743532360647012,0.688842717572582,0.802077629864953,2.25896940191569e-14
"SMQ020",0.53650044496823,0.440469297810316,0.652199349603264,4.92911556074639e-10
"PAQBIN",0.946549924242251,0.784521116631352,1.1400725311114,0.564378909036183
"ALQBIN",0.873166092400519,0.663310839425713,1.15990568169721,0.340903264240895
