"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.151509724198322,0.128419066903657,0.178343264227189,2.22815923736728e-112
"CAFFQNTQ2",0.980613966285163,0.844506920080647,1.13855854142683,0.797227312036936
"CAFFQNTQ3",1.03955465790142,0.89536931617325,1.20697300785902,0.610498922801842
"CAFFQNTQ4",1.20255805392471,1.03750621794929,1.39428659978784,0.0144039263528166
"RIDAGEYR",0.997777950759832,0.994987532042434,1.00056543963092,0.118753706042085
"GENDRM",0.58085007471307,0.521406748618,0.646567918685516,4.16833845504104e-23
