"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.202035576728533,0.15238184311511,0.26634561419867,2.87077686524545e-29
"CAFFQNTQ2",0.952887410684521,0.743900907133044,1.22078121494668,0.702280523822168
"CAFFQNTQ3",1.06239520745325,0.831854951078275,1.35776087506887,0.627902377559032
"CAFFQNTQ4",1.22378462988363,0.96118683146884,1.56029821222275,0.101979748015987
"RIDAGEYR",0.993945329399274,0.989277872592685,0.99860401549263,0.0111493946854735
"GENDRM",0.538932505245882,0.451430042597774,0.641964716840499,5.77585951231894e-12
