"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.214853498818647,0.12929817309339,0.352510114178349,1.81219072266267e-09
"CAFFQNTQ2",1.0176214848187,0.748753881132952,1.38176471726841,0.910892168132397
"CAFFQNTQ3",0.921246864421739,0.669655430909886,1.26406062421804,0.612242037186195
"CAFFQNTQ4",1.01235109056711,0.738196412807612,1.38658391322474,0.939069907396218
"RIDAGEYR",0.99893562874076,0.992922197739618,1.00493756807718,0.728406955410411
"GENDRM",0.701283646082756,0.557513611455905,0.879943301316594,0.00228635376283858
"RIDRETH1",1.17671827534838,1.05858735507797,1.30904706790317,0.00265363993534576
"INDF",0.980715691846221,0.95772832889875,1.00969707317569,0.125489732205375
"INDH",1.00954984708212,0.98206719386809,1.02917528611394,0.393938997794715
"DMDEDUC2",0.714502911160563,0.649457176820419,0.785391829775517,3.98685026962913e-12
