"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",1.23872126068497,0.738584338174007,2.06917273340983,0.415111393640108
"CAFFQNTQ2",0.939391152127536,0.720722621288798,1.22393279307959,0.643203121495778
"CAFFQNTQ3",1.08876506263908,0.842517668314892,1.40861370488844,0.516252432025254
"CAFFQNTQ4",1.24569342527372,0.960495916558109,1.61868063490576,0.0987073498171697
"RIDAGEYR",0.985881729804021,0.980658627125876,0.991096898273446,1.39412146431913e-07
"GENDRM",0.467279002316732,0.385712218010382,0.564761474207382,5.08459449852024e-15
"RIDRETH1",1.07676445786986,0.987693388304817,1.17428910790146,0.0937485807130237
"INDF",1.00973148960509,0.996017715110474,1.02197113798671,0.133254339790921
"INDH",0.992199043641117,0.97925236080242,1.0066307244022,0.258923740815876
"DMDEDUC2",0.682598659660862,0.632671781027261,0.735766307212325,3.45947881271711e-23
"SMQ020",0.517880395977075,0.42428351964639,0.630823430222666,7.72047997221338e-11
"PAQBIN",0.731616048294602,0.603753101237167,0.884514710662279,0.00133064360464255
"ALQBIN",1.06955327461241,0.819051811986573,1.40935618545822,0.626862088582782
