"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.588837162127413,0.386246378656939,0.893825004644254,0.0133169410295323
"CAFFQNTQ2",0.959597433079905,0.742051868439155,1.24136042628315,0.753158841909387
"CAFFQNTQ3",1.09492238421318,0.84930051574113,1.41298176746109,0.484596892005825
"CAFFQNTQ4",1.38589170390776,1.07866521941864,1.78428727197038,0.0109666092904951
"RIDAGEYR",0.989221176273498,0.984165774390904,0.994263174435423,3.13824020263452e-05
"GENDRM",0.520961224915026,0.433797842715124,0.624138860100146,2.07041463264459e-12
"RIDRETH1",1.09202128789569,1.00425523542317,1.18760900202839,0.0395585915565664
"INDF",0.993127680565508,0.980460201527975,1.00641947748392,0.303799537021513
"INDH",1.00170411785113,0.988561255635307,1.01363601939102,0.790539373872611
"DMDEDUC2",0.716708719015709,0.665413890350536,0.771440398834757,1.01324656710116e-18
