"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.220638899965064,0.131943247025819,0.36427885340719,5.32724770757974e-09
"CyQNTMQ2",0.97457342242516,0.710592916523376,1.3365944346298,0.87284990651128
"CyQNTMQ3",0.901356988097691,0.65526863279039,1.23941676316827,0.522363891599352
"CyQNTMQ4",1.00308076334514,0.730050028354857,1.37912056542971,0.984854697625835
"RIDAGEYR",0.998891588372825,0.992882645523648,1.00488918960973,0.717448554529446
"GENDRM",0.701319237315505,0.557542943493081,0.879993304460354,0.00228987422929279
"RIDRETH1",1.17557794191902,1.05752890609678,1.30781704383238,0.00282195473382782
"INDF",0.980593232369876,0.957631407382713,1.00953567521813,0.122663800188079
"INDH",1.00968966789685,0.982238251305933,1.02928831856764,0.38642262557032
"DMDEDUC2",0.714052210599173,0.649044519958013,0.784899387480105,3.64344219794405e-12
