"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.151566619046083,0.128400453713584,0.178503610769374,1.2307871269154e-111
"CyQNTMQ2",0.995977742088978,0.858291322321429,1.15573273855599,0.957640711927428
"CyQNTMQ3",1.00995196710751,0.869333569436661,1.17327271117212,0.896952568624542
"CyQNTMQ4",1.19481863428379,1.03085715551585,1.38528071983095,0.0181874092731471
"RIDAGEYR",0.997863513470162,0.995076467595287,1.00064780694644,0.133151854526205
"GENDRM",0.581682942823359,0.522165020158112,0.647482161060874,5.31125958303164e-23
