"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.199628181714607,0.150721472042281,0.262929875667136,7.02151950395732e-30
"CyQNTMQ2",0.98059865533834,0.767124871106871,1.25346707112752,0.875602539506376
"CyQNTMQ3",1.066683120037,0.836047324283785,1.36144300572071,0.603487240494516
"CyQNTMQ4",1.24672809627228,0.979997599039298,1.58772785563415,0.0729782818954051
"RIDAGEYR",0.993950646587399,0.989283763340167,0.998608873315258,0.0112114190047081
"GENDRM",0.53910411859586,0.451589030485607,0.642147190526718,5.86647767129396e-12
