"","RIDAGEYR","INDF","INDH","DPQSCR","DR1TCAFF","DR2TCAFF","DRMTCAFF","DRLTCAFF"
"Mean",48.0308362053328,10.9769635407219,11.3914384182841,3.73027389805913,156.924360602213,136.400535420099,138.534826773082,3.94965970376591
"SD",18.5295274785563,16.0182116645144,16.1765661060097,5.43035328575685,216.945506030402,180.439013754161,174.64886725877,1.83580676027817
