"","RIDAGEYR","INDF","INDH","DPQSCR","DR1TCAFF","DR2TCAFF","DRMTCAFF","DRLTCAFF"
"Mean",47.4069036314641,10.0096240215578,10.2775567817272,3.50044912100603,154.408571795201,133.130327452262,136.026433979212,3.90361885168581
"SD",19.051636799829,14.5808787387065,14.4649483729341,5.00717801639954,214.456508071017,176.456673228947,172.609236471249,1.85580111764582
