"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.145309844388381,0.121709698606282,0.172990094542091,1.28563605716461e-102
"CyQNT1Q2",1.07531440648441,0.925355127641334,1.2518626807728,0.346091656307569
"CyQNT1Q3",1.04649886277085,0.890945414769869,1.23048393602179,0.58094548934743
"CyQNT1Q4",1.24454407668145,1.05558219246278,1.46862128257107,0.00938114394668633
"RIDAGEYR",0.997956501263113,0.995173479116245,1.00073697263503,0.150287164396766
"GENDRM",0.58235189439715,0.522787394947401,0.648199451314475,6.29794852418096e-23
