"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.0832261342773079,0.0595275160517237,0.114983274298648,1.19595376051195e-49
"CyQNT1Q2",1.03447442108866,0.770907873985798,1.39691809746236,0.822893435716032
"CyQNT1Q3",0.864426187206015,0.628788430329078,1.19165961528601,0.370939520881887
"CyQNT1Q4",0.922716009526682,0.660792777925035,1.2895802649522,0.636696441091219
"RIDAGEYR",1.00476749173695,0.999405364292098,1.01010606585553,0.0798488146953239
"GENDRM",0.747449129539583,0.601891620658001,0.926203724433153,0.00806616234672066
