"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.671277008999207,0.450318403020377,0.996824389381252,0.049193200104813
"DRMTCAFF",1.0011869243558,1.00075853150464,1.00161304562827,4.80822791256547e-08
"RIDAGEYR",0.987766369182781,0.98270079452894,0.992826483768194,2.496263338108e-06
"GENDRM",0.4963651524452,0.412787101858494,0.595360390736236,6.34977675961887e-14
"RIDRETH1",1.10918287388322,1.01902238914886,1.20777467594446,0.0167998334895197
"INDF",1.0086830374518,0.995037634437153,1.0207573996764,0.175857945130373
"INDH",0.992719660455442,0.979872418958014,1.00712916966433,0.289015108710959
"DMDEDUC2",0.667046974201375,0.619089271781302,0.718021747389776,9.187122922754e-27
