"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.555450353948952,0.374556929914778,0.820356411600176,0.00327270726786226
"DRMTCAFF",1.00084993754614,1.00041742928021,1.0012711545441,8.96726920396246e-05
"RIDAGEYR",0.98960778099175,0.984573917964362,0.994631643567486,5.56555674092087e-05
"GENDRM",0.519677277640541,0.432669796130693,0.622655448606198,1.76418189402992e-12
"RIDRETH1",1.08860704143344,1.00113055614324,1.18382705365786,0.0470362954078163
"INDF",0.993173136138747,0.980497229849584,1.00648646769271,0.307587837196715
"INDH",1.00177283607335,0.988614967892663,1.01371421685519,0.782509891784574
"DMDEDUC2",0.722253931086313,0.671002310472768,0.776910543469532,3.15657430969489e-18
