"","RIDAGEYR","INDF","INDH","DPQSCR","DR1TCAFF","DR2TCAFF","DRMTCAFF","DRLTCAFF"
"Mean",49.0382308845577,10.4806971514243,10.445652173913,3.67541229385307,160.713830584708,134.685708126751,138.903298350825,3.9581511873288
"SD",18.6242085351647,15.3693301616232,14.4749937179944,5.09029644697432,226.516772394594,169.895961469614,172.953223303765,1.83414283692042
