"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.206471263587317,0.155526953581569,0.272454030327503,2.60989742784306e-28
"CAFFQNTQ2",0.981172876167881,0.763422925563164,1.26097827407957,0.881868746675277
"CAFFQNTQ3",1.09037042871986,0.854053321599922,1.39349939882055,0.488119822385996
"CAFFQNTQ4",1.33651799896483,1.04944101490609,1.70508886001677,0.0190525829761061
"RIDAGEYR",0.994067689829527,0.989405922403682,0.998725888690693,0.0128284978304549
"GENDRM",0.521212424607466,0.436428407202792,0.621035608340571,4.35621038942281e-13
