"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.20948243910722,0.128990649888276,0.336001929055754,1.51237762505608e-10
"DRMTCAFF",1.00052327298067,0.999909082398804,1.00108966938473,0.0813762848161221
"RIDAGEYR",0.998393916781498,0.992387475525797,1.00439089981629,0.600026648307959
"GENDRM",0.683988090545862,0.544047577225306,0.857701114749523,0.00106328790972891
"RIDRETH1",1.17676586068639,1.05836587215713,1.30943342210526,0.00270961347984901
"INDF",0.98049427237828,0.957462115475607,1.009650457458,0.122290911078684
"INDH",1.00971238120673,0.982059335073204,1.02934421724757,0.387053870397142
"DMDEDUC2",0.709308746872755,0.644908446887814,0.779472880320909,1.1739277446542e-12
