"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.375543825200994,0.202792777163292,0.685695018733135,0.00161147856447864
"DRMTCAFF",1.00030251476977,0.99962800067818,1.00092326854064,0.358645752628762
"RIDAGEYR",0.994082783689898,0.987638177952487,1.00049563336986,0.0718845913764258
"GENDRM",0.631887083019425,0.492610433126585,0.808334936206834,0.000276366791789655
"RIDRETH1",1.15612595822944,1.0341457904981,1.29345997904432,0.0109852880635088
"INDF",0.980989185820537,0.958278709378416,1.01014442474526,0.129332686027066
"INDH",1.01125316813336,0.983478646424645,1.03113173977093,0.319596441736576
"DMDEDUC2",0.773315591575991,0.696007973418488,0.858662591411754,1.57852658132939e-06
"SMQ020",0.631551161564132,0.486805840807456,0.816872695635441,0.000495247162427813
"PAQBIN",0.476001813405931,0.371492766165843,0.608676446782088,3.67506803219194e-09
"ALQBIN",1.01018439453606,0.709049170164218,1.46586360728743,0.95629190971294
