"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.46685630161663,0.362321563448697,0.600322822030149,3.33240403156502e-09
"CyQNTMQ2",0.999080006743122,0.854490709664589,1.16813603414488,0.990789732177717
"CyQNTMQ3",1.06395238062555,0.910486185701151,1.24344756408898,0.435423686156748
"CyQNTMQ4",1.32960587442914,1.14070562898067,1.55063564769194,0.000274320600735365
"RIDAGEYR",0.991657772492462,0.988601872254223,0.994710190568284,9.7250804731212e-08
"GENDRM",0.555002148567352,0.49612111516552,0.620345947242506,5.13072333246921e-25
"RIDRETH1",1.12026988919901,1.06399570290117,1.17965809995009,1.59903409661733e-05
"INDF",1.00055945562224,0.991148221855515,1.00973104419792,0.906559212236419
"INDH",0.99792570347011,0.988554718325536,1.00734491355012,0.667390806012684
"DMDEDUC2",0.693957943595311,0.662918774941392,0.726244322974258,1.53339857375811e-55
