"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",1.00417382331505,0.60169157254453,1.66789221422621,0.987218115178202
"CyQNTMQ2",0.96461187492049,0.746299952745711,1.24684999131132,0.782992654352464
"CyQNTMQ3",1.01450179560149,0.785057213640682,1.31162228670375,0.912367954525749
"CyQNTMQ4",1.19448397687665,0.923201866129204,1.54775230324937,0.177278026978475
"RIDAGEYR",0.988254035078776,0.983064167567411,0.993434840589443,1.00998855828594e-05
"GENDRM",0.487381023780872,0.403097120830525,0.587913557914306,8.11953759415563e-14
"RIDRETH1",1.05733044057086,0.970713004555791,1.15171634141392,0.201083134557976
"INDF",0.993834587944412,0.981365490700585,1.00684253705966,0.346379374267912
"INDH",1.00193661020078,0.98904869465844,1.01373229654306,0.758857814125266
"DMDEDUC2",0.74395891328575,0.68927046255368,0.802499446210656,2.44153954083132e-14
"SMQ020",0.536868333823258,0.440759701362268,0.652666062944303,5.17829584804301e-10
"PAQBIN",0.947281833124744,0.785169785619678,1.14089412976345,0.569762517680589
"ALQBIN",0.873490655113106,0.66353004008816,1.16037864183651,0.342294728825629
