"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.207301596501204,0.156520959547148,0.272957648448717,1.3170670909031e-28
"CyQNTMQ2",0.993487125677014,0.777256817583548,1.2697624573592,0.958344630214367
"CyQNTMQ3",1.06250396075865,0.830809506145406,1.35897181276633,0.628830582224628
"CyQNTMQ4",1.32298883002669,1.04117717163519,1.68325125836738,0.0222720619970121
"RIDAGEYR",0.994144677577324,0.989483656917572,0.998802301806038,0.0140241970898317
"GENDRM",0.521922494822367,0.437015821581244,0.621893244527208,4.89601606919101e-13
