"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",1.22878798448824,0.73334636357453,2.0506212381573,0.432030124009334
"CyQNTMQ2",0.979063931527216,0.755702007681613,1.26813061469244,0.872597221019803
"CyQNTMQ3",1.05999126016061,0.818596364538987,1.37298388338069,0.658514825469714
"CyQNTMQ4",1.24256191579345,0.960039114863359,1.61072321283936,0.0997114325918758
"RIDAGEYR",0.985973038787539,0.980749898012801,0.991188633451365,1.67711918955243e-07
"GENDRM",0.467418139956997,0.385838191569428,0.564913613897224,5.16146429745078e-15
"RIDRETH1",1.07636541864975,0.987337233969849,1.17383837312423,0.0953609012863808
"INDF",1.00979621220214,0.996077650440992,1.02204218032104,0.130837620673974
"INDH",0.992104124347039,0.979153898011632,1.00653745154407,0.253271191500048
"DMDEDUC2",0.683328149988989,0.633361844811788,0.736537307738023,4.43994056267808e-23
"SMQ020",0.516349654305113,0.423035788963518,0.628948651469135,6.3300841974577e-11
"PAQBIN",0.731817783844279,0.603892125920067,0.884798916796888,0.0013473861832218
"ALQBIN",1.07296581055941,0.821669086932585,1.41385499886655,0.610624376103872
