"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.0826802536333112,0.0613556951317731,0.110469579830989,4.63780079664698e-62
"CAFFCATEHigh",1.55790679125726,1.03625495535195,2.29114780032139,0.028074370782338
"CAFFCATELow",1.05097400130271,0.784962411149645,1.39911484989332,0.73561571005328
"CAFFCATEMod",0.831460231405071,0.642267343130223,1.07581810528443,0.160319616745882
"RIDAGEYR",1.00457478356211,0.999167419150294,1.00995744501867,0.0955749151235594
"GENDRM",0.737319010727484,0.593543157438374,0.913921050182795,0.00561401810856148
