"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.585469472939717,0.389303188198111,0.876869832137975,0.00973008532437739
"CAFFCATEHigh",1.53673608495968,1.06967932706193,2.17311633553565,0.0172672624080202
"CAFFCATELow",0.904207927107603,0.696613391415848,1.16885020798541,0.445209868468533
"CAFFCATEMod",1.15188339714614,0.934557163219327,1.42272603626992,0.186949500535831
"RIDAGEYR",0.989496328826724,0.984452835634754,0.994528152874253,4.77490051402577e-05
"GENDRM",0.523205494361126,0.435747195681035,0.62671489050737,2.7422879408343e-12
"RIDRETH1",1.09087022225412,1.00331616072007,1.18620645544664,0.0416847085544959
"INDF",0.993142718672077,0.980551868335561,1.00633367207702,0.301424877306227
"INDH",1.00171449108184,0.988672426410624,1.01356864559841,0.787767221818183
"DMDEDUC2",0.721868929161719,0.670382439578729,0.776802758800071,4.19303067064441e-18
