"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.210366105319516,0.16045510690159,0.274364409362791,4.42309699215698e-30
"CAFFCATEHigh",1.90908060213926,1.37901190872584,2.61597683881737,7.34595956598107e-05
"CAFFCATELow",0.924773348710783,0.717987179509646,1.18664343915521,0.541371533310864
"CAFFCATEMod",1.05934393251039,0.862352419077869,1.30377945148769,0.584365165467796
"RIDAGEYR",0.99445915281052,0.989785300637248,0.999131455439263,0.0204367490180643
"GENDRM",0.51648531937774,0.432255990062425,0.615688270419477,2.3822257588013e-13
